Club,totalmarketvalm,leaguepos,Grosspygbp,nettspendM
Manchester City,1150,1,199160000,7.17
Arsenal FC,1000,2,133016000,-162.6
Chelsea FC,994.95,12,226564000,-562.39
Manchester United,847.75,3,242190000,-219.63
Liverpool FC,811.85,5,170820000,-65.1
Tottenham Hotspur,649.1,8,117000000,-141.15
Newcastle United,541.6,4,92326000,-170.94
Brighton & Hove Albion,529.8,6,44876000,82.7
Aston Villa,509.55,7,110390000,-59
Wolverhampton Wanderers,497.65,13,67782000,-116.64
Leicester City,490.7,18,84760000,32.4
West Ham United,465.6,14,88920000,-175.05
Southampton FC,419.95,20,62296000,-147.61
Everton FC,413.15,17,86372000,20.53
Nottingham Forest,376.25,16,76750000,-193.35
Brentford FC,371.2,9,38376000,-45.65
Leeds United,345.15,19,61074000,-49.39
Crystal Palace,323.05,11,70460000,-41.15
Fulham FC,295.1,10,62400000,-50.7
AFC Bournemouth,287.2,15,50804000,-83.1
