Club,totalmarketvalm,leaguepos,Grosspygbp,nettspendM
Manchester City,1180,3,224733600,-102.3
Arsenal FC,1100,2,169936000,-25.11
Liverpool FC,942.5,1,148493800,5
Chelsea FC,913.8,4,169925600,-40.6
Tottenham Hotspur,766.1,17,116181000,-120.05
Newcastle United,651.48,5,95175600,21.35
Manchester United,643.1,15,173823000,-143.3
Aston Villa,592,6,130761800,42.97
Brighton & Hove Albion,555.7,8,64259000,-231.46
AFC Bournemouth,470.1,10,53898000,-65.22
Nottingham Forest,462.15,7,58006000,-18.8
Crystal Palace,458,12,73684000,8.8
Brentford FC,414.48,9,44343000,-23.9
Wolverhampton Wanderers,413.9,16,63440000,-8.21
West Ham United,400.3,14,101738000,-98.25
Fulham FC,351.35,11,71526000,-22.75
Everton FC,349.55,13,73788000,33.95
Ipswich Town,261.5,19,40768000,-150.23
Southampton FC,256.3,20,50492000,-80.56
Leicester City,242.4,18,66690000,-43.8
